;Agriculture, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Nikolenko S., Abaev T., Konstantinova N.,""56926915100";13608710100;56426516800;56129345700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912531581&doi=10.1109%2fWI-IAT.2014.38&partnerID=40&md5=d01dea0aa1379a160a214e341d2e3ee4"",,""Radio stations"; Singular value decomposition; Adaptive online learning; Collaborative users; Industry standards; Interactive radio networks; Online recommender systems; User history;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Kaminskaya A., Konstantinova N., Konstantinov A.,""56926915100";55939778100;56129345700;55420166400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912528591&doi=10.1109%2fWI-IAT.2014.52&partnerID=40&md5=1965b5422de774caa74713d7670ecba0"",,""Information analysis"; Recommender systems; Bi-clustering; Crowd sourcing; Crowdsourcing platforms; Methods of data analysis; Object attributes;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Zhuk R., Konstantinova N.,""56926915100";56202112800;56129345700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912523224&doi=10.1109%2fWI-IAT.2014.136&partnerID=40&md5=4a3a655d78a5e3efcd502dd6ed359860"",,""Classification algorithm"; Classification precision; Classification technique; Labeled data; Naive Bayesian Classifier; Random forests; Relational data;" Decision trees""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Batsyn M., Goldengorin B., Pardalos P.M., Sukhov P.,""37111907600";6506538311;7005330875;55842116600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903540264&doi=10.1080%2f10556788.2013.854360&partnerID=40&md5=1e70ae22c711e787c0d3ff3ccf612de9"",""efficient heuristic"; single machine scheduling; weighted shortest remaining processing time;" WSRPT rule"",""Computational complexity"; Machinery; Scheduling; Computational studies; efficient heuristic; Scheduling theory; Shortest remaining processing time; Single machine scheduling problems; Single-machine scheduling; Total weighted completion time; WSRPT rule;" Scheduling algorithms""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Lukinskiy V., Lukinskiy V., Churilov R.,""56151945100";55822287500;56152194200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899898023&doi=10.2478%2fttj-2014-0011&partnerID=40&md5=355404020c01cdd00d06b482b81a1890"",""methods of analysis"; models of failures; reliability; supply chains;" terminology"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Barash L.Y., Shchur L.N.,""12765472700";56004933800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894639152&doi=10.1016%2fj.cpc.2014.01.007&partnerID=40&md5=f1fb1e4cefbea66f2231182791b7bc15"",""GPGPU"; Monte Carlo; Pseudorandom numbers; Random number generation; Random numbers; Statistical methods;" Streaming SIMD extensions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kogan K., Lopez-Ortiz A., Nikolenko S.I., Scalosub G., Segal M.,""8219662100";6701682515;13608710100;56048753700;7201773230;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896778601&doi=10.1109%2fCOMSNETS.2014.6734878&partnerID=40&md5=21869c78ae142018652adc3d545f4b70"",,""Algorithmic approach"; Bounded size; Maximize throughput; On-line algorithms; Algorithms; Online systems;" Communication systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Ignatov D.I., Kuznetsov S.O., Dedene G.,""24504357900";56926915100;7202573378;6603898706;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893929838&doi=10.1080%2f03081079.2013.862377&partnerID=40&md5=c1b40ca5ea0b3200dcf88e6b0554b3ea"",""exploratory data analysis"; formal concept analysis (FCA); fuzzy attributes; information retrieval; knowledge discovery in databases; rough sets; systematic literature overview;" text mining"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bernstein A., Kuleshov A.,""55926029700";25621485600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946687139&doi=10.1109%2fICMLA.2014.59&partnerID=40&md5=73ecfabe261860617efeeb4dc6f2f190"",""dimensionality reduction"; manifold learning; statistical learning; tangent bundle manifold learning;" unsupervised learning"",""Artificial intelligence"; Clustering algorithms; Learning systems; Unsupervised learning; Curse of dimensionality; Dimensional representation; Dimensionality reduction; Dimensionality reduction algorithms; High dimensional data; High dimensional spaces; Manifold learning; Statistical learning;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887386540&doi=10.1016%2fj.jcta.2013.10.004&partnerID=40&md5=adf22b44e4ed6cf7a6d0cc2433de4dc9"",""Convex polytope"; Extended formulation;" Nonnegative factorization"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Batsyn M., Goldengorin B., Maslov E., Pardalos P.M.,""37111907600";6506538311;57192386200;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895061173&doi=10.1007%2fs10878-012-9592-6&partnerID=40&md5=f9c5e074482a2d64d74532d1071d44fe"",""Branch-and-bound algorithm"; Graph colouring; Heuristic solution;" Maximum clique problem"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Malyshev D.S.,""25522390800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895064847&doi=10.1007%2fs10878-012-9529-0&partnerID=40&md5=48a89640ceb9591365940406d23029dc"",""Boundary graph class"; Computational complexity;" Maximum induced subgraph problem"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ossadtchi A., Pronko P., Baillet S., Pflieger M.E., Stroganova T.,""6603011121";56015447600;6701787287;7801552764;7003845082;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892977800&doi=10.3389%2ffninf.2013.00053&partnerID=40&md5=b92a73bdb998534e6abcea611d51a7db"",""Components selection"; Eloquent cortex mapping; ICA; Mutual information; Spatial components;" SVD"",""article"; brain mapping; electroencephalography; functional neuroimaging; independent component analysis; mathematical model; motor cortex; simulation; spatial analysis;" statistical analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Tsukanova O.A., Vishnyakova E.P., Maltseva S.V.,""56022228800";56399216900;56022395900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908384304&doi=10.1109%2fCBI.2014.32&partnerID=40&md5=d77f03f799292cdab59a8dec2acd4aba"",""evolution rate"; evolutionary platform; motion order; network community dynamics;" textured state space"",""Evolution rate"; evolutionary platform; Evolutionary progress; Graph features; Model-based monitoring; motion order; Network communities;" Platform concept""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Tsukanova O., Hou K., Semenova A., Maltseva S.,""56022228800";56473347200;56473431900;56022395900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920717906&doi=10.1109%2fICEBE.2014.60&partnerID=40&md5=5e31777e774138e7fc4585f8c90ece44"",""customer centricity"; evolutionary modeling; mobile-only social network;" textured environment"",""Sales"; Social networking (online); Social sciences computing; Business aspects; customer centricity; Customer-centric; Evolutionary models; Mobile applications; Technology application; textured environment;" Economic and social effects""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kalachev Ya.B., Klyshinsky E.S.,""56396843400";56397131900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908293941&partnerID=40&md5=5149574db53348b77c0ca7b7da77640a"",""Automatic text processing"; Document examination;" Visualization results"",""Text processing"; Automatic text processing; Document examinations; Fixed size; Measure of similarities; Technical documentations; Visual information; Visual representations; Visualization results;" Visualization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Strok F.,""55876566100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902254070&doi=10.1016%2fj.procs.2014.05.354&partnerID=40&md5=561a2eda151842e91ef28aab99015d16"",""Learning syntactic parse tree"; Paragraph matching;" Taxonomy learning"",""Textile printing"; Paragraph matching; Pattern structure; Projection techniques; Speech act theory; Structure theory; Syntactic parse tree; Taxonomy learning; Text information;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mesropyan V.R., Ovsyannikov M.V.,""56018646700";55859123300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899697775&doi=10.3103%2fS0147688214010080&partnerID=40&md5=ba043af58b811269f5dcff76cc71aa91"",""bibliometrics"; economic and technological cycles; forecasting; Foresight; patent analysis; scientific-technical and innovation policy;" scientometrics"",""Computer science"; Data processing; Bibliometrics; Foresight; Innovation policies; Patent analysis; Scientometrics;" Forecasting""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Arzamasov V., Penikas H.,""56202412100";55471176500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902274521&doi=10.1016%2fj.procs.2014.05.351&partnerID=40&md5=a926786b493c41f931b11e01cb9afb23"",""Financial stability"; Integral index; Israel; Multiple regression;" Principal components method"",""Principal component analysis"; Financial stability; Integral index; Israel; Multiple regressions; Principal Components;" Finance""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Lanin V., Strinuk S.,""56562823800";56563073200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925241142&partnerID=40&md5=afb071726cff4daf7bb1a692dfd2fcef"",""GATE"; Ontology;" Scientific publication"",""Data handling"; Information use; Ontology; Social networking (online); Analysis system; Corpus linguistics; GATE; Information search; Labor intensity; Scientific papers; Scientific publications; Unstructured data;" Image analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Neznanov A.A., Parinov A.A.,""55329014600";56202397200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908670415&partnerID=40&md5=5ecfac62651f3da9c2809e7cce2d98f7"",""Data mining"; Formal concept analysis; Knowledge extraction;" Software"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Masyutin A.,""56441599600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916241462&doi=10.1007%2f978-3-319-12580-0_15&partnerID=40&md5=e839bb73ebd2488b98a8742391cc5a1c"",""Beta-regression"; Cox regression; Kaplan-Meier estimator; LGD; Recovery rate;" Survival analysis"",""Risk management"; Beta-regression; Cox regression; Kaplan-Meier estimators; LGD; Recovery rate; Survival analysis;" Risk perception""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
