;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gromoff A., Kazantsev N., Ponfilenok M., Stavenko Y.,""49663292500";36237354600;55875393200;55351417500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887716612&partnerID=40&md5=5f9d56e58a18a974fe1bfe6245451ff7"",""Business architecture"; Business flexibility; Cloud computing; Enterprise architecture (EA); Real-time business architecture (RBA); SOA;" Subject-oriented business process management (S-BPM)"",""Business architecture"; Business process management; Enterprise Architecture; Real-time business; SOA; Cloud computing; Computer simulation; Enterprise resource management; Industry; Semantics;" Information systems""";;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Guerreiro S., Van Kervel S., Babkin E.,""24536769600";55440728400;6701533991;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887112254&partnerID=40&md5=6af6f7bfa0e92afa101ee6e0f24b17d1"",""Control"; Demo; Enterprise engineering; Framework; Generation;" Operating system"",""Demo"; Enterprise engineering; Framework; Generation; Operating system; Control; Copyrights; Industry; Information systems; Ontology;" Computer operating systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Zinkina J., Korotayev A., Andreev A.I.,""37039918300";7003940480;57196846460;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886044086&doi=10.1108%2fCWIS-08-2013-0036&partnerID=40&md5=e5978f4c14fd0e8125678040d0d27a72"",""Codes"; Global networks; Globalization; Globalization indices; Globalization measurement; Social systems; Strategic planning; Systems theory;" Teaching methods"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aleskerov F.T., Chistyakov V.V.,""7003947309";7005793389;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890524881&doi=10.1142%2fS021962201350034X&partnerID=40&md5=7c59f3c33d4963c761f4b111f58b4ce3"",""dual preference"; indifference class; ordering algorithm; ordinal number; surjective utility function;" Weak order"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Leksin V.A., Nikolenko S.I.,""36084898000";13608710100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886405364&doi=10.1007%2f978-3-642-41062-8_21&partnerID=40&md5=bee2706cf4a5689c0f70128c6f56efcb"",""recommender systems"; tag extraction;" text mining"",""Classification algorithm"; Semi-supervised; Semi-supervised classification; Tag extraction; Text mining; Textual information; User experience; Web recommender systems; Algorithms; Data mining; Websites;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Fomichov V.A.,""6602185149";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884924030&doi=10.1007%2f978-3-642-38824-8_21&partnerID=40&md5=18eb3880d9c9f31a1178bb6c4aec7f97"",""algorithm of semantic-syntactic analysis"; bioinformatics; conceptual metagrammar; Multilingual Semantic Web; natural language processing; semantic markup language; semantic representation; SK-languages; text meaning representation;" theory of Krepresentations"",""Metagrammar"; Multilingual semantic webs; NAtural language processing; Semantic markup; Semantic representation; SK-languages; text meaning representation; theory of Krepresentations; Bioinformatics; Information systems; Knowledge representation; Markup languages; Semantics;" Natural language processing systems""";;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884897349&doi=10.3103%2fS1060992X13030090&partnerID=40&md5=254dec93ba7791799ffe96b154dab787"",""directed enumeration method"; parallel multithread computations; pattern recognition; probabilistic neural network;" test of homogeneity"",""Directed enumeration methods"; Homogeneity testing; Multi-thread; Nearest-neighbor analysis; Parallel realizations; Pattern recognition problems; Probabilistic neural networks; Research subjects; Neural networks;" Pattern recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879753809&doi=10.1016%2fj.neunet.2013.06.003&partnerID=40&md5=a8c100959a4d8887ce9266f798eca4b9"",""Authorship attribution"; Discrete patterns set; Face recognition; Homogeneity testing; Probabilistic neural network;" Statistical pattern recognition"",""Authorship attribution"; Discrete patterns set; Homogeneity testing; Probabilistic neural networks; Statistical pattern recognition; Face recognition; Graphic methods; Probability distributions; Neural networks; accuracy; article; face recognition; female; histogram; human; kernel method; mathematical analysis; mathematical computing; memory; nerve cell network; pattern recognition; priority journal; probabilistic neural network; visual memory; Authorship attribution; Discrete patterns set; Face recognition; Homogeneity testing; Probabilistic neural network; Statistical pattern recognition; Algorithms; Computer Simulation; Models, Biological; Neural Networks (Computer); Pattern Recognition, Automated; Probability;" Recognition (Psychology)""";;;;
4;"Barash L.Y., Shchur L.N.,""12765472700";56004933800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883137299&doi=10.1016%2fj.cpc.2013.04.007&partnerID=40&md5=576c89a663869181bc10dd4e41dcc5f8"",""Carlo"; Extensions; Monte; Pseudorandom numbers; Random number generation; Random numbers; SIMD; Statistical methods;" Streaming"",""Carlo"; Extensions; Monte; Pseudo-random numbers; Random Numbers; SIMD; Acoustic streaming; FORTRAN (programming language); Statistical methods;" Random number generation""";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Litvinov G.L., Rodionov A.Y., Sergeev S.N., Sobolevski A.N.,""6701899871";22994744300;36824189800;7004013625;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883822084&doi=10.1007%2fs00500-013-1027-5&partnerID=40&md5=b5cd631a68d2cda6eec7042bd61e6391"",,""Bellman equations"; Idempotent semirings; Original algorithms; Semirings; Software implementation; Universal algorithm; Algorithms;" Dynamic programming""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Golubin A.Y.,""55885947500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884389785&doi=10.1016%2fj.orl.2013.08.012&partnerID=40&md5=24db786b3e1f0c9688de7fb8384dc96c"",""Pareto optimality"; Scalarization;" Two-dimension utility space"",""First-order necessary conditions"; Pareto-optimal; Pareto-optimality; Scalarization; Two-dimension; Management science; Operations research;" Pareto principle""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Van Tiel B., Van Miltenburg E., Zevakhina N., Geurts B.,""55308073200";57160415100;57160174500;9334731900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960128679&doi=10.1093%2fjos%2fffu017&partnerID=40&md5=50a12db3286c6c182db9de00cba543f9"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kogan K., Nikolenko S., Culhane W., Eugster P., Ruan E.,""8219662100";13608710100;55447471700;16303930200;55849324400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883731481&doi=10.1145%2f2491185.2491219&partnerID=40&md5=7f22792b882f6d87029eb7e6d83f6290"",,""Classifier design"; Commercial systems; Design Patterns; Efficient designs; Efficient implementation; Network element; Network services; Traffic classification;" Telecommunication traffic""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Obiedkov S.,""7801637737";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883328472&doi=10.1007%2f978-3-642-38317-5_12&partnerID=40&md5=b4ac136fbcb4cd683b650dabba29bcd1"",""ceteris paribus preferences"; formal concept analysis; implications;" preference logic"",""Ceteris paribus"; Consequence relations; Context-based semantics; Formal contexts; implications; Parameterized; Preference logic; Information analysis; Parameterization; Semantics;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kuznetsov S.O.,""7202573378";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883423614&doi=10.1007%2f978-3-642-38317-5_17&partnerID=40&md5=30add44ed6996d063d06f5e5fa8a7d1a"",,""Algorithmic complexity"; Binarizations; Complex data; Lazy evaluation; Logical formulas; Parallelizations; Pattern structure; Projection approximations; Formal concept analysis; Information analysis;" Textile printing""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Westergaard M., Fahland D., Stahl C.,""13609083600";23396621900;9738444600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883197393&doi=10.1007%2f978-3-642-40465-8_10&partnerID=40&md5=e8fe2fa162ca7e4ac67250bfaade3308"",,""Colored petri net model"; Colored Petri Nets; Cpn tools; Dynamic property; Error prones; Petri net models; Temporal property; Tool supporting; Computer worms; Grading; Petri nets; Temporal logic; Tools;" Model checking""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Zotov M.G.,""56999077700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886905858&doi=10.1134%2fS1064230713030167&partnerID=40&md5=0c505011eeb095efa8d5d2f3e5b97ba6"",,""Approximate methods"; Multimode control; Normal modes; Quasi-optimal; Robust controllers; Robust systems; System of equations; Computer science; Software engineering;" Optimization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Nascimento S., Felizardo R., Mirkin B.,""7003805775";44361041400;35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883794866&doi=10.1111%2fexsy.12027&partnerID=40&md5=5c2fc8e93a5911db3493079c2504ef18"",""Laplacian normalization"; number of clusters; Relational fuzzy clustering;" spectral fuzzy clustering"",""Computational properties"; Data transformation; Fuzzy clustering method; Gaussian clusters; Laplacians; Number of clusters; Spectral clustering; Spectral clustering methods; Laplace transforms; Noise generators;" Fuzzy clustering""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Osipov D., Frolov A., Zyablov V.,""24481886700";36452224100;7005949263;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882751719&doi=10.1007%2f978-3-642-39805-6_5&partnerID=40&md5=7467a11883f4cd6b58db97ea0047d517"",,""Asymptotic behaviors"; Asymptotic formula; Intensity information; Modulation techniques; Multiple-access systems; Noncoherent reception; Transmission methods; Wireless channel; Modulation;" Pulse position modulation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879768376&doi=10.1007%2f978-3-642-39402-7_13&partnerID=40&md5=6e62455423bf4b4b08d0724db6aeccf9"",""directed enumeration method"; face recognition; probabilistic neural network with homogeneity testing;" Real-time image recognition"",""Computing efficiency"; Directed enumeration methods; Experimental studies; Homogeneity testing; Nearest neighbor rule; Parallel computing algorithms; Parallel implementations; Parallel version; Computer vision; Neural networks; Parallel architectures;" Face recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Westergaard M., Slaats T.,""13609083600";53878553200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881251914&doi=10.1007%2f978-3-642-40176-3_24&partnerID=40&md5=c930d5295a8617d53afcd0b5d13bfee0"",,""Abstract data"; Abstract process; Colored Petri Nets; Control-flow; Data support; Declarative Languages; Explicit modeling; Structured process; Enterprise resource management; Petri nets;" Flow graphs""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Van Der Aalst W.M.P.,""7007153024";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880902103&doi=10.1007%2f978-3-642-39200-9_1&partnerID=40&md5=36e36e92e4b752250319adb3f03b3439"",,""Commercial tools"; Cross-organizational; Efficiency gain; Extended abstracts; Normative models; Performance problems; Service minings; Service orientation; Web services;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Kuznetsov S.O., Poelmans J., Zhukov L.E.,""56926915100";7202573378;24504357900;56962754300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879689378&doi=10.1080%2f03081079.2013.798899&partnerID=40&md5=5ec59caf337ba99ccac9764cba1d15f2"",""data mining"; folksonomy; formal concept analysis; spectral triclustering; three-way data;" triclustering"",""Adjacency matrices"; Bi-clustering; Folksonomies; spectral triclustering; Ternary relations; Three way data; Triadic concept analysis; triclustering; Data mining; Formal concept analysis; Information systems; Systems science;" Matrix algebra""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shitov Y.,""35148401800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875326354&doi=10.1016%2fj.jcta.2013.03.004&partnerID=40&md5=ea536a25d92b98a6fe5f6ba02c85dd9b"",""Kapranov rank"; Tropical basis;" Tropical rank"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Kuznetsov S.O., Ignatov D.I., Dedene G.,""24504357900";7202573378;56926915100;6603898706;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880218963&doi=10.1016%2fj.eswa.2013.05.007&partnerID=40&md5=8d660aa4ad4b4ae23394de6ce6f68449"",""Data analysis models"; Formal Concept Analysis (FCA); Knowledge discovery in databases; Systematic literature overview;" Text mining"",""Data analysis models"; Formal concept analyses (FCA); Knowledge discovery in database; Literature overview; Text mining; Data mining; Surveys;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Molokanov V., Romanov D., Tsibulsky V.,""55793510500";56850552300;55793459200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880165808&doi=10.1117%2f12.2010936&partnerID=40&md5=6a295ea9daf4b717c7041a33cf2588df"",""Enterprise information management"; Expert search;" TREC"",""Efficiency improvement"; Enterprise information management; Expert searches; Information spaces; Query classification; Text retrieval conferences; TREC; Weighting coefficient; Algorithms; Image processing; Industry; Information management; Safety devices;" Search engines""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Poelmans J., Ignatov D.I., Kuznetsov S.O., Dedene G.,""24504357900";56926915100;7202573378;6603898706;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880139879&doi=10.1016%2fj.eswa.2013.05.009&partnerID=40&md5=96ccb7817dfe8adfb986274d1d7c9090"",""Applications"; Formal concept analysis (FCA); Knowledge discovery in databases; Systematic literature overview;" Text mining"",""Formal concept analyses (FCA)"; Knowledge discovery in database; Knowledge processing; Literature analysis; Literature overview; Ontology engineering; Software minings; Text mining; Applications; Chemical analysis; Data mining; Surveys; World Wide Web;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Koldanov A.P., Koldanov P.A., Kalyagin V.A., Pardalos P.M.,""6603418986";55630761900;13002922100;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879805423&doi=10.1016%2fj.csda.2013.06.005&partnerID=40&md5=e74bfc4679572bf13c9e726908ff644e"",""Additivity of the loss function"; Conditional risk; Generating hypotheses; Market graph; Multiple decision statistical procedures;" Unbiased statistical tests"",""Additivity"; Decision procedure; Different class; Generating hypotheses; Graph construction; Loss functions; Multiple decision statistical procedures; Commerce; Decision theory;" Statistical methods""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Westergaard M.,""13609083600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879668474&doi=10.1007%2f978-3-642-38697-8_22&partnerID=40&md5=3999ac41e42ae56749cdfb95284d578c"",,""Colored Petri Nets"; Cpn tools; Ordinary Petri net; Reset arcs; Third parties; Java programming language; Petri nets;" Tools""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Lepskiy A.E.,""23976011900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884398797&doi=10.1134%2fS1054661813030097&partnerID=40&md5=a8be8498bfcee5ef21fff7a2b933e0ef"",""image symmetry detection"; measure of asymmetry;" noise addition to image"",""Image symmetry"; measure of asymmetry; Noise addition; Noise levels; Sufficient and necessary condition; Symmetry axes; Symmetry axis; Symmetry parameter; Computer vision;" Pattern recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aleskerov F., Subochev A.,""7003947309";26868203300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879026090&doi=10.1007%2fs10898-012-9907-2&partnerID=40&md5=475a4789eebd5a0059bca9afd1718f27"",""Condorcet winner"; Core; Externally stable set; k-stable alternative; k-stable set; Majority relation; Matrix-vector representation; Solution concept; Top cycle; Tournament; Uncaptured set; Uncovered set; Untrapped set;" Weakly stable set"",""Condorcet winner"; Core; k-stable alternative; k-stable set; Majority relation; Matrix-vector; Solution concepts; Stable sets; Tournament; Uncaptured set; Uncovered set; Untrapped set; Computer applications; Global optimization;" Decision theory""";;;;;;;;;;;;;;;;;
4;"Bautin G.A., Kalyagin V.A., Koldanov A.P., Koldanov P.A., Pardalos P.M.,""55630568100";13002922100;6603418986;55630761900;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878924488&doi=10.1007%2fs10287-013-0169-3&partnerID=40&md5=6982773305cc6eeac9f2c68ab228a80a"",""Cliques"; Independent sets; Market graph; Measure of dependence of random variables; Pearson correlation; Sign correlation;" Stock returns"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Du H., Pardalos P.M., Wu W., Wu L.,""7201901229";7005330875;55503019300;55965959100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879021061&doi=10.1007%2fs10898-012-9871-x&partnerID=40&md5=995e2ca8713d6aa73c004be3f92decf6"",""Coverage"; Maximum lifetime;" Wireless sensor network"",""Active sensor"; Communication radius; Coverage; Coverage sets; Euclidean planes; Maximum lifetimes; Polynomial-time; Sensing radius; Geometry; Wireless sensor networks;" Sensors""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gusev P., Kiritchenko V., Timorin V.,""55599265200";7801669086;6507568071;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873979014&doi=10.1016%2fj.jcta.2013.02.003&partnerID=40&md5=c457d318a79cc4d773d22e66d5710af5"",""F-Vector"; Gelfand-Zetlin polytopes;" Generating functions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kuznetsov S.O., Poelmans J.,""7202573378";24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876739038&doi=10.1002%2fwidm.1088&partnerID=40&md5=397162f0197a7ef3441206483072e32d"",,""Additional knowledge"; Conceptual graph; Description logic; Knowledge discovery in database; Knowledge processing; Knowledge representation and processing; Ontology engineering; Support for processing; Data description; Information analysis; Intelligent systems; Knowledge representation;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Egorov V.S.,""55661061500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876730862&doi=10.3103%2fS0147688213010103&partnerID=40&md5=2d9f6e00a05c8443785c338099205996"",""copyright"; electronic text; open access; peer review center; peer review of scientific papers;" scientific editors"",""electronic text"; Open Access; Peer review; Scholarly journals; Scientific articles; Scientific papers; Scientific publications; Scientific values; Computer science; Copyrights; Data processing;" Reviews""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Shamshurin I.,""42662434400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875825722&doi=10.1007%2f978-3-642-37798-3_6&partnerID=40&md5=c160fae6ac6e23e609370aafff9381d3"",""Machine Learning"; Natural Language Processing;" Sentiment Analysis"",""Domain specific"; Key Issues; Logistic regressions; Machine learning methods; NAtural language processing; Opinion mining; Opinion targets; Sentiment analysis; Artificial intelligence; Computational linguistics; Extraction; Learning algorithms; Learning systems; Logistics; Natural language processing systems;" Data mining""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mirkin B.G., Shestakov A.,""35428028600";55632844100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875411259&doi=10.1007%2f978-3-642-36973-5_79&partnerID=40&md5=bed6f97ae542a9345a8b6ae93345e87f"",""consensus clustering"; ensemble clustering;" least squares"",""Consensus clustering"; Ensemble clustering; Least Square; Cluster analysis; Clustering algorithms; Information retrieval;" Least squares approximations""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Konstantiov A.V., Chubis Y.,""56926915100";55632096800;55633022000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875409623&doi=10.1007%2f978-3-642-36973-5_69&partnerID=40&md5=4a2ae7cd90a2e362307c240b90f7742d"",""E-commerce"; Formal Concept Analysis;" Near duplicate detection"",""Near-duplicate detection"; Online business; Electronic commerce; Formal concept analysis; Information retrieval;" Copyrights""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Joho H., Ignatov D.I.,""14035781600";56926915100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875457468&doi=10.1007%2f978-3-642-36973-5_110&partnerID=40&md5=2368eefa9af3359e1fce13f27dcb0c8b"",""Doctoral Consortium";" Information Retrieval"",""Doctoral Consortium"; Artificial intelligence;" Information retrieval""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bronevich A.G., Bronevich A.V.,""23102270900";55768805300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879163062&doi=10.1134%2fS1054661813020053&partnerID=40&md5=098a7f4b86ef46504d5ea689fce708b0"",""informativeness"; Kullback-Leibler distance; measure;" sign-based representation of images"",""Bayes classification"; Distance functions; Face detection problem; Image representations; Informative ness; Kullback-Leibler distance; measure; sign-based representation of images; Computer vision; Pattern recognition;" Information theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Galitsky B.,""6603420071";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875278403&doi=10.1016%2fj.knosys.2012.11.001&partnerID=40&md5=ae1eb07625384814ece6d32af8cc4bd1"",""Belief"; Desire; Intention and other mental attitudes; Interaction between human agents; Reasoning about mental attitudes;" Simulation"",""Belief"; Desire; Human agent; Mental attitude; Simulation; Decision support systems; Multi agent systems;" Logic programming""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Riazantsev S., Tikunov V., Timonin S.,""22136228700";7004523729;55058982600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873928593&doi=10.1080%2f19475683.2012.758174&partnerID=40&md5=b182e01935c4a9d691aac63b9c7a8f8d"",""ethnic diversity index"; ethnic forecasting; GIS-mapping;" typological classification"",""cartography"; cluster analysis; ethnic group; GIS; mapping method; typology;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Barg A., Kabatiansky G.,""7004393589";6603655778;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872523202&doi=10.1109%2fTIT.2012.2220522&partnerID=40&md5=1701de89ced2976f3e7239e984322bc5"",""Fingerprinting"; hash distance; separating codes;" zero-error identification"",""Arbitrary values"; Cardinalities; Combinatorial arrays; Fingerprinting; Finite alphabet; hash distance; Probability of errors; separating codes; Computer applications; Information theory;" Compensation (personnel)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Styrin E., Dmitrieva N., Zhulin A.,""53865533400";56158034600;53865773700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900440501&doi=10.1145%2f2591888.2591964&partnerID=40&md5=f3b36a65fe59f41d0fd3da9bf4d46613"",""Open government"; Open government tools; Openness evaluation framework;" Openness evolution stages"",""Government data processing"; Evaluation criteria; Evaluation framework; Holistic approach; Open government; Public agencies; Tools and methods;" Tools""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Egorov V.S.,""55661061500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898655981&doi=10.3103%2fS0147688213040084&partnerID=40&md5=9a0e8351e321e48d35b9582da32dbede"",""copyright"; e-book; electronic text; open access;" scientific editing"",""Electronic publishing"; e-book; electronic text; Open Access; Publishing house; scientific editing; Scientific literature; Scientific publications; Technical functions;" Copyrights""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Deviatko I.F.,""36612806100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917244900&doi=10.4324%2f9780203069769&partnerID=40&md5=2ceb5e605810d81b96563a75954bbbf6"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gnatyshak D.V., Ignatov D.I., Kuznetsov S.O.,""55420752100";56926915100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902292659&partnerID=40&md5=9373a5ad5ac9bcd928f6531fcfe329dd"",""Data mining"; Formal concept analysis; Triadic data;" Triclustering"",""Algorithms"; Data mining; Human computer interaction; Information analysis; Experimental comparison; Quality measures; Real-world; Real-world datasets; Resource efficiencies; Synthetic data; Triadic data; Triclustering;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Koltsova O., Koltcov S.,""6507090770";55803521900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880716210&doi=10.1002%2f1944-2866.POI331&partnerID=40&md5=34505b39ad74a91a65b9ac385398f8a8"",""blogs"; LDA; online public opinion; political protests; Russia;" topic modeling"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Neznanov A.A., Kuznetsov S.O.,""55329014600";7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922546606&partnerID=40&md5=663c3715f3d3bedded4f81e778f1fcb8"",""Data analysis"; Formal Concept Analysis; Knowledge extraction;" Text mining"",""Data mining"; Data reduction; Information analysis; Information retrieval; Analytical artifact; Concept Lattices; Heterogeneous data sources; Integrated environment; Knowledge extraction; Meta information; Text mining; Unstructured data;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Chetverikov V.M., Saenko V.S., Tyutnev A.P.,""16502510000";7103137190;7005402871;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896462738&doi=10.1109%2fICASTech.2013.6707491&partnerID=40&md5=2599dd283c8e7cc2c7296de031f601f1"",""anomalous permittivity"; composite; conductive additive;" ultrasound"",""Carbon"; Composite materials; Nanoparticles; Permittivity; Ultrasonics; Carbon Nano-Particles; Conductive additives; Conductive nanoparticles; Dielectric composites; Enhanced conductivity; Preparation technology; Relative dielectric permittivity; Relative permittivity;" Technology""";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Porshnev A., Redkin I., Shevchenko A.,""56109471800";56109245700;56109538900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898047873&doi=10.1109%2fICDMW.2013.111&partnerID=40&md5=1b12fc9ced3f318b3810c5d0032b1e18"",""Mood"; Neural Networks; Prediction; Psychological states; Stock market indicators; Support Vectors Machine;" Twitter"",""Commerce"; Data mining; Finance; Neural networks; Social networking (online); Mood; Psychological state; Stock market; Support vectors machine; Twitter;" Forecasting""";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bezzubtseva A., Ignatov D.I.,""55940340100";56926915100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898030513&doi=10.1109%2fICDMW.2013.32&partnerID=40&md5=195d49e3954ba203265282e09d3dd36b"",""Price analysis";" Regression models"",""Data mining"; Hotels; Regression analysis; European cities; Graphical data; Hedonic pricing analysis; Preliminary analysis; Price-analysis; Regression model; Seasonality;" Costs""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Podinovski V.V.,""55996020400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898754375&doi=10.1016%2fj.procs.2013.05.141&partnerID=40&md5=8f350a0939c5e91f859040b264b09409"",""Multicriteria optimization problems"; Pareto optimality;" Potential optimality"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
