9;"Litmanovich A.D., Podbel'Skiy V.V., Kudryavtsev Ya.,""7005354291";36245602900;35578978700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80455137140&doi=10.1134%2fS0965545X11100087&partnerID=40&md5=83bf08bae1d1cf912bb1db0f0682537d"",,""3D models"; Accelerating effect; Average composition; Bernoulli; Lateral ordering; Local ordering; Multiblock copolymer; Multiblocks; Polymer analogous reaction; Probabilistic properties; Rectangular cross-sections; Self-organizations; Stochastic behavior; Three dimensional systems; Three-dimensional model; Two dimensional model; Copolymerization; Copolymers; Rotation;" Three dimensional""";;;;;;;;;;;;;
9;"Ivanova L.D., Petrova L.I., Granatkina Yu.V., Zemskov V.S., Sokolov O.B., Skipidarov S.Ya., Kurganov V.A., Podbel'Skii V.V.,""56208114700";7102799992;7801687782;7103049725;57196974709;6507672643;37661930900;36245602900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956110865&doi=10.1134%2fS0020168511050104&partnerID=40&md5=dda428b1e3fa3cdbdbb5d58c13190199"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kotliarov I.,""25626497500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455192541&partnerID=40&md5=0cd17a4a48afa1d6ba88666f57a7c42f"",""Franchisee"; Franchising; Franchisor; Income; Risk; Royalty;" Royalty rate"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Feigin B.L.,""7006562936";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455211477&doi=10.1007%2fs10688-011-0032-7&partnerID=40&md5=3205665238ee59fd7829ef6241bc8c82"",""abelianization"; t-characters of irreducible representations;" Virasoro algebra"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kaleda P.I., Shchurov I.V.,""36666489600";36009482500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871400108&doi=10.1090%2fS1061-0022-2011-01158-6&partnerID=40&md5=48e60959e0ded48b03cb488fc7d1159a"",""Hilbert's sixteenth problem"; Hilbert-Arnol'd problem; Number of limit cycles;" Polycycle"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Braverman A., Feigin B., Finkelberg M., Rybnikov L.,""7005928142";7006562936;6602282553;26031611100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80355144467&doi=10.1007%2fs00220-011-1300-3&partnerID=40&md5=603acdb1f777f90f3e951aed2f82600b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Costa A.F., Gusein-Zade S.M., Natanzon S.M.,""24781683700";6701783976;6603742412;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864271024&doi=10.1512%2fiumj.2011.60.4296&partnerID=40&md5=8115c288b01abc0c6eb65ed77d323de2"",""Foams"; Klein surfaces;" Moduli space"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Gromoff A., Chebotarev V., Evina K., Stavenko Y.,""49663292500";53866112300;53866444300;55351417500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054794506&doi=10.1007%2f978-3-642-23471-2_19&partnerID=40&md5=0cd8063c3326d90426df519af4d36269"",""business process management"; communication network; contact net; ECM; enterprise content; innovation; networking; S-BPM; subject-oriented approach;" unstructured information"",""Business process management"; enterprise content; networking; S-BPM; Subject-oriented; unstructured information; Business process management; Contact nets; networking; S-BPM; Subject-oriented; unstructured information; Enterprise resource management; Knowledge engineering; Network management; Computer science; Computers; Innovation; Military electronic countermeasures; Telecommunication networks; Industry;" Enterprise resource management""";
10;"Schurov I.,""36009482500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878191767&partnerID=40&md5=acf15f471bb0d3eaa4475feb5e732ec6"",""Canards"; Limit cycles;" Slow-fast systems"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Akopov A., Beklaryan L.,""47561181900";6602611447;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051708164&partnerID=40&md5=84e99e1fba238e354ace92b048ffeb42"",""Adaptive control"; Genetic algorithms; Intelligent systems; Modelling of complex systems;" System dynamics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Poelmans J., Elzinga P., Dedene G., Viaene S., Kuznetsov S.O.,""24504357900";24504058300;6603898706;55960020100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961191894&doi=10.1007%2f978-3-642-22688-5_15&partnerID=40&md5=48b0bcb8d52f33f97e14118b932a0083"",,""Activity report"; Human trafficking; Hungary; Motor vehicle; Netherlands; Police officers; Social environment; Activity report; Concept discoveries; Human trafficking; Motor vehicle; Netherlands; Police officers; Police patrols; Social environment; Military vehicles; Law enforcement; Military vehicles; Crime;" Crime""";;;;;;;;;;;
10;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960300921&doi=10.1007%2f978-3-642-21881-1_52&partnerID=40&md5=0ae612b946807b6642479320390467f6"",,""Exhaustive search"; Experimental studies; Face images; Halftone images; Kullback-Leibler; Large database; Discrimination informations; Face images; Halftone images; Large database; Method of directed enumerations; Data mining; Fuzzy sets; Granular computing; Rough set theory; Data mining; Fuzzy sets; Granular computing; Image recognition; Face recognition;" Rough set theory""";;;;;;;;;;;;;;
10;"Ignatov D.I., Kuznetsov S.O., Magizov R.A., Zhukov L.E.,""56926915100";7202573378;42961943800;56962754300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960318872&doi=10.1007%2f978-3-642-21881-1_41&partnerID=40&md5=6dff5b1d4637728d608910a135b98ae7"",""data mining"; folksonomy; formal concept analysis; three-way data;" triclustering"",""Biclustering"; Binary data; Binary relation; Concept-based; Folksonomies; Formal Concept Analysis; Large datasets; Three way data; triclustering; Bi-clustering; Binary data; Binary relation; Concept-based; Folksonomies; Large datasets; Three way data; Triclustering; Data mining; Fuzzy sets; Rough set theory; Bins; Data mining; Fuzzy sets; Granular computing; Information analysis; Rough set theory; Granular computing;" Formal concept analysis"""
10;"Kuznetsov S.O., Ślȩzak D., Hepting D.H., Mirkin B.G.,""7202573378";7004096337;7801380650;35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960317607&doi=10.1007%2f978-3-642-21881-1&partnerID=40&md5=08a6598d95e0be60d55cd40c8e28c38d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Mirkin B.G., Kramarenko A.V.,""35428028600";44861538100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960325288&doi=10.1007%2f978-3-642-21881-1_40&partnerID=40&md5=1fbc82141bda8dfd39e3c33deba6d8f1"",""bicluster"; box;" tricluster"",""bicluster"; Binary data; box; Cluster method; Experimental studies; Least Square; tricluster; Analysis of binaries; Bi clusters; Cluster method; Least Square; Tricluster; Fuzzy sets; Granular computing; Rough set theory; Bins; Data mining; Fuzzy sets; Granular computing; Rough set theory; Least squares approximations;" Least squares approximations""";;;;;;;;;;
10;"Golovachev S.,""55300543000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960147078&doi=10.1007%2f978-3-642-21786-9_57&partnerID=40&md5=3c6de0a1f8c902241807074a1069dd0f"",""artificial neural network"; back-propagation; forecast; independent component analysis;" principal component analysis"",""Artificial Neural Network"; Auto-regression; Financial market; forecast; Independent components; Input datas; Learning mechanism; Levenberg-Marquardt; Mean reversion; Network-based; Pre-processing; Principal Components; Stock market; Stock returns; Commerce; Finance; Financial data processing; Forecasting; Image recognition; Independent component analysis; Principal component analysis; Regression analysis;" Neural networks""";;;;;;;;
10;"Shamshurin I.,""42662434400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960138448&doi=10.1007%2f978-3-642-21786-9_42&partnerID=40&md5=ca35257d50cfc490dd398215d982a9aa"",""Jaccard index"; K-nearest Neighbor; Naive Bayes method; Sentiment Analysis; Supervised Learning;" Unsupervised Learning"",""Classification accuracy"; Customer review; Data representations; Data sets; Internet users; Jaccard index; K-nearest neighbors; Maximum entropy; Naive Bayes; Natural language text; Sentiment analysis; Unsupervised machine learning; Artificial intelligence; Pattern recognition; Supervised learning;" Data mining""";;;;;;;;;;;;;;
10;"Roytberg M.,""6602080158";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960131896&doi=10.1007%2f978-3-642-21786-9_4&partnerID=40&md5=5ff245341990b15c139bc6c373023ca2"",""accuracy"; alignment; confidence; seed; selectivity; sensitivity;" sequence comparison"",""accuracy"; Comparative analysis; confidence; sensitivity; Sequence alignments; Sequence comparisons; Artificial intelligence; Nucleic acids; Pattern recognition;" Alignment""";;;;;;;;;;;;;;;;;;;
10;"Mirkin B., Nascimento S., Fenner T., Felizardo R.,""35428028600";7003805775;7003951786;44361041400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960150174&doi=10.1007%2f978-3-642-21786-9_2&partnerID=40&md5=ca3af701bdb20f461bcfc92447625867"",,""Novel methods"; Penalty function; Real world data; Artificial intelligence; Pattern recognition; Visualization;" Taxonomies""";;;;;;;;;;;;;;;;;;;;;;;;;
10;"Elagin A.D.,""7801316586";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959859669&doi=10.1070%2fSM2011v202n04ABEH004153&partnerID=40&md5=36b4672f752fd5c7e1cbbb498b84ed0d"",""Algebraic variety"; Derived categories;" Descent theory"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Pirkovskii A.Yu.,""6507150595";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957509244&doi=10.1093%2fqmath%2fhap037&partnerID=40&md5=ab09655352ab0c00797bfd63a3e15b00"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Babkin E., Karpunina M., Aseeva N.,""6701533991";55274973600;15847630900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120269&doi=10.1007%2f978-3-642-24511-4_9&partnerID=40&md5=dd28b748c4d245f340d32c515cb0b963"",""distributed databases"; Neural networks; parallel programming;" tabu search"",""Data structures"; Information science; Learning algorithms; Neural networks; Parallel programming; Structural optimization; Distributed database; Logical structure; Parallel tabu search; Performance metrics;" Tabu search""";;;;;;;;;;;;;;;;;;;
10;"Feigin E.,""6701558236";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861037408&doi=10.4310%2fMRL.2011.v18.n6.a8&partnerID=40&md5=6c6f7849811f2938d332bd44512f211f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Kuznetsov S.O., Ślezakę D., Hepting D.H., Mirkin B.G.,""7202573378";57199100123;7801380650;57192792605;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037556134&partnerID=40&md5=2c0739f6384a7fe18bddddf20b9287be"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Braverman A., Feigin B., Finkelberg M., Rybnikov L.,""7005928142";7006562936;6602282553;26031611100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80355144467&doi=10.1007%2fs00220-011-1300-3&partnerID=40&md5=603acdb1f777f90f3e951aed2f82600b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Kurkina O.E., Kurkin A.A., Soomere T., Pelinovsky E.N., Rouvinskaya E.A.,""36676379700";7003446660;6602843214;7004951110;54789183300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82855181563&doi=10.1063%2f1.3657816&partnerID=40&md5=2ce8fe9c00bd43fb9fad35b843d04d9a"",,""Asymptotic method"; Basic properties; Higher order; Interfacial waves; Korteweg-de Vries equations; MkDv equation; Natural water bodies; Nonlinear terms; Quintic nonlinearity; Solitary wave solution; Three-layer; Control nonlinearities; Solitons;" Nonlinear equations""";;;;;;;;;;;;;;;;;
11;"Petrukhin N.S., Pelinovsky E.N., Batsyna E.K.,""6603394745";7004951110;44461079500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960825286&doi=10.1134%2fS0021364011100110&partnerID=40&md5=d94faf9455887b92c87a8f4fe1744908"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926232662&partnerID=40&md5=835ab1700e7155b73ee3fa1389f1cf0c"",""Automatic image recognition with unsupervised training"; Directed enumeration method; Minimum discrimination information principle;" Self training"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Bozhenko E.,""54891346000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855698955&doi=10.1016%2fj.sbspro.2011.10.315&partnerID=40&md5=2e7a696681f5723fd970da0aa48bf270"",""Adult child-parent relationships"; Adult children;" Classification"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Smirnova N.V., Matveeva L.A.,""56678323800";54795617700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84555191623&doi=10.1016%2fj.sbspro.2011.11.203&partnerID=40&md5=61246546b94b4f80e1b44a2b6e83d709"",""Cognitive level"; Gender; School age; Sign-symbolic activity;" SSA dynamics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055182536&partnerID=40&md5=40824a28f1e10e4ae9d654e24cabde88"",,""census"; migration; population dynamics; population estimation; population size;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Shabanova M.,""22951898600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455246366&partnerID=40&md5=bf933ba7f03f2402f3c78398cade1993"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Bozhenko E.,""54891346000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855698955&doi=10.1016%2fj.sbspro.2011.10.315&partnerID=40&md5=2e7a696681f5723fd970da0aa48bf270"",""Adult child-parent relationships"; Adult children;" Classification"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Krasnov M.,""54882716500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455253324&partnerID=40&md5=b7fd40a2e1b8ebd8420b60fca62cadd0"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Tikhonova N.,""7006789882";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856370508&doi=10.2753%2fRES1060-9393531201&partnerID=40&md5=1156b4514f4f99d5622bb60c2f13523e"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Bessonov V.,""54883126700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855399436&partnerID=40&md5=da358f6a0d823192063e8ccde0c03606"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Smirnova N.V., Matveeva L.A.,""56678323800";54795617700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84555191623&doi=10.1016%2fj.sbspro.2011.11.203&partnerID=40&md5=61246546b94b4f80e1b44a2b6e83d709"",""Cognitive level"; Gender; School age; Sign-symbolic activity;" SSA dynamics"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kynev A.,""15127272200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959960751&doi=10.2753%2fRUP1061-1940490402&partnerID=40&md5=44d2fc4737571b8ae24951b910f79282"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Jakobson L., Sanovich S.,""41461158700";41461661400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959498674&doi=10.1080%2f17448689.2011.573672&partnerID=40&md5=71770aeebf1fa41130bd39e49c18e19f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Urban M., Khestanov R.,""8785721900";38561646200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957553967&doi=10.1080%2f13523279.2011.564103&partnerID=40&md5=b1f8bc6bb374062502df7bce4c4b00db"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kozyrev O.,""6602554401";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957891603&partnerID=40&md5=597f7da8c2affdbde8aecb7c68b87595"",""Cluster"; Innovation systems;" Management of a regional economy clusters"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gurkov I.,""6603320551";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859073777&doi=10.1080%2f10669868.2011.634772&partnerID=40&md5=3e2c005fc4d3c2c68ebe7027f6afd7f2"",""competitive positioning"; innovations in Russia; stakeholders;" surveys"",""business development"; industrial technology; innovation; stakeholder; survey;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gokhberg L., Kuznetsova T.,""6508192345";55861954300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859051573&doi=10.1080%2f10669868.2011.634769&partnerID=40&md5=85deb1238d1324d10390af6f0c7e07aa"",""innovation activity in Russia";" new format of the public policies"",""financial crisis"; innovation; regulatory framework; technology policy;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Karasev O., Rudnik P., Sokolov A.,""54895674700";55149663200;55145232200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859071282&doi=10.1080%2f10669868.2011.634771&partnerID=40&md5=747babf56ab9842079064e438aa738b2"",""emergent markets"; nanotechnology;" technology foresight"",""competitiveness"; manufacturing; market conditions; nanotechnology; research and development; technological development;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;
13;"Davydov S.G., Stozharov A.V.,""40461202600";6701345394;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959251389&partnerID=40&md5=0e1e817127d790768304f2c02941e034"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Sanina A.,""36469087400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858287753&doi=10.1016%2fj.ccs.2011.12.002&partnerID=40&md5=2252bf2d4546d34edd66161812e73f33"",""Passenger behavior"; Public transport; Symbolic interaction;" Urban transport"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Abalmasova N.E., Pain E.A.,""55062296800";26868038700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922152815&doi=10.1134%2fS2079970511030026&partnerID=40&md5=93b92c247d6898c83e9bdb8f2d6b655c"",""Brand of city"; Consolidation; Culture; Image of region; Local community; Modernization; Regional identity; Symbolic capital;" Symbolic management"",";;;;;;;;;;;;;;;;;;;;;;;;;
13;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922068554&doi=10.1134%2fS2079970511020110&partnerID=40&md5=f6bdf17d628e63541014c9714c1d2c7b"",""In-migration"; Interregional migration; Net-migration; Out-migration; Population;" Region"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Mkrtchyan N.V.,""54788001400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922161254&doi=10.1134%2fS2079970511030087&partnerID=40&md5=cac748c28dd5f2da7cecbd062025aca7"",""Correction"; Intercensus period; Migration; Natural increase; Net balance of population size; Population census;" Region"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gordin V.E.,""55903521700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922201908&doi=10.1134%2fS2079970511040046&partnerID=40&md5=aa77294e0c3515b6fa64c0a64f9e0e2a"",""Cultural tourism"; The potential for tourism development;" Tourism in the city"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
