4;"Poelmans J., Elzinga P., Neznanov A.A., Dedene G., Viaene S., Kuznetsov S.O.,""24504357900";24504058300;55329014600;6603898706;55960020100;7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864689491&doi=10.1007%2f978-3-642-31488-9_21&partnerID=40&md5=c96c6392f283b6bc47e3a08d0d90e77f"",""Applications"; Concept lattices; Formal Concept Analysis; Software System;" Text Mining"",""Concept Lattices"; Data-mining software; Higher School; Software systems; Statistical data analysis; Text mining; Textual data; Applications; Computer software; Formal concept analysis; Hidden Markov models; Self organizing maps;" Data mining""";;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859435754&doi=10.1016%2fj.patcog.2012.02.011&partnerID=40&md5=33c6ed133b144c15ad2837be34619945"",""Approximate nearest neighbor classification"; Color histogram; Directed enumeration method; Gradient orientation histogram; Image recognition;" Large database"",""Approximate nearest neighbor"; Color histogram; Enumeration method; Gradient orientations; Large database; Face recognition; Image recognition;" Graphic methods""";;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Krushinsky D., Goldengorin B.,""25121113400";6506538311;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865405946&doi=10.1007%2fs10287-012-0146-2&partnerID=40&md5=370c947eb59efc4443e1251c03a92bb6"",""Cell formation"; Group technology;" Minimum multicut"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Obiedkov S.,""7801637737";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864053230&doi=10.1007%2f978-3-642-29892-9_22&partnerID=40&md5=d4c7fb16115db2924f9ce22e04f4273e"",""formal concept analysis"; implications; preference logic;" preferences"",""implications"; Inference systems; Preference logic; preferences; Information analysis;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Babin M.A., Kuznetsov S.O.,""36681934600";7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864052267&doi=10.1007%2f978-3-642-29892-9_7&partnerID=40&md5=a9a07d67ed0ea929be010d540b1ff774"",""approximate counting"; computational complexity;" concept stability"",""Algorithmic complexity"; Approximate algorithms; Approximate counting; Approximate stability; Biclusters; Computer experiment; Stability indices; Algorithms; Computational complexity; Formal concept analysis; Information analysis;" Stability""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Domenach F., Ignatov D.I., Poelmans J.,""6508136861";56926915100;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864061806&partnerID=40&md5=f58d181835bf1a69ef7e164c76401607"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Fomichov V.A., Fomichova O.S.,""6602185149";6602653836;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862855709&partnerID=40&md5=4b8fa7c9175de0cdc08ab3defa3e6a4b"",""Algorithm of resisting emotional attacks via social networks"; Early socialization of children; Impressionism; Informational-aesthetic conception of developing cognitive-emotional sphere; Maps of cognitive transformations; Methods of emotionalimaginative teaching;" Theory of dynamic conceptual mappings"",""Conceptual mapping"; Early socialization of children; Emotional attacks; Formal notations; Impressionism; Information and Communication Technologies; Information society; Original algorithms; Scientific discipline; Social consequences; Social Networks; Social responsibilities; Data processing; Information science; Information technology; Internet; Social networking (online); Social sciences; Spheres;" Algorithms""";;;;;;;;;;;;;
4;"Chistyakov V.V., Goldengorin B.I., Pardalos P.M.,""7005793389";6506538311;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863728645&doi=10.1007%2fs10898-012-9847-x&partnerID=40&md5=e45a9aed5fc51bd847bb453d302620d5"",""Additive objective function"; Combinatorial optimization problem;" Extremal values of tolerances"",""Combinatorial optimization problems"; Extremal; Feasible solution; Objective functions; Optimal solutions; Optimal systems;" Combinatorial optimization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kirchik O., Gingras Y., Larivière V.,""36677495100";6602494616;14028805600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862270420&doi=10.1002%2fasi.22642&partnerID=40&md5=0e2873a3943a6933c7f394ac07ee99c1"",""bibliometrics"",""Bibliometrics"; Efficient strategy; Matthew effects; Scientific activity; Scientific communication; Web of Science; Profitability; Publishing; Visibility;" Translation (languages)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Kryszkiewicz M., Obiedkov S., Raś Z.W.,""6603900000";7801637737;7003495972;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861396497&doi=10.3233%2fFI-2012-654&partnerID=40&md5=a0e688a7a5980126c8f3745d16719d82"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Cordeiro De Amorim R., Mirkin B.,""48161201100";35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055024879&doi=10.1016%2fj.patcog.2011.08.012&partnerID=40&md5=4058d7b07c58f991c51a4118162e20ca"",""Anomalous cluster"; Feature weights; K-means; Minkowski metric;" Noise features"",""Anomalous cluster"; Feature weight; K-means; Minkowski;" Noise features""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Aydogan E.K., Karaoglan I., Pardalos P.M.,""15047492400";12143936100;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84655161319&doi=10.1016%2fj.asoc.2011.10.010&partnerID=40&md5=df3729dc17c0b3c1fd43e9b6ac0348aa"",""Classification"; Fuzzy rule based classification systems; Genetic algorithms; Genetic fuzzy systems;" Integer programming"",""Benchmark data"; Classification rules; Comparative studies; Fuzzy rule based classification systems; Genetic fuzzy systems; High-dimensional; High-dimensional problems; Hybrid genetic algorithms; Hybrid heuristics; Non-parametric statistical tests; Classification (of information); Fuzzy rules; Heuristic methods; Heuristic programming; Integer programming; Statistical tests;" Genetic algorithms""";;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Poelmans J., Dedene G., Viaene S.,""56926915100";24504357900;6603898706;55960020100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856052146&doi=10.1007%2f978-3-642-27387-2_25&partnerID=40&md5=6aa88076415ff7c9924ab438b3c83fec"",""applied combinatorics"; quality of recommendations; recommender systems;" user-behavior modeling"",""Combinatorics"; Cross validation; Cross-validation technique; Data sets; Empirical validation; Execution time; Key performance indicators; Recall and precision; Recommender algorithms; Research domains; Algorithms; Artificial intelligence; Behavioral research; Benchmarking; Quality control; Recommender systems; Statistical tests;" Mathematical models""";;;;;;;;;;;;;;;;
4;"Mirkin B., Nascimento S.,""35428028600";7003805775;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055036002&doi=10.1016%2fj.ins.2011.09.009&partnerID=40&md5=6c67e6e85a0f4e8519fe489049e8248f"",""Additive fuzzy clustering"; Community structure; Lapin transformation; One-by-one clustering; Research activity structure;" Spectral fuzzy clustering"",""Cluster analysis"; Fuzzy clustering; Inverse problems; Iterative methods; Metadata; Social sciences; Spectroscopy; Community structures; Iterative extraction; Lapin transformation; Multi-dimensional vectors; Network structures; One-by-one clustering; Research activities; Spectral decomposition;" Matrix algebra""";;;;;;;;;;;;;;;;;;
4;"Zykov S.V.,""36146486900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034422269&partnerID=40&md5=1b387367c3189723151da4f37a1410ae"",,""Complex networks"; Cybernetics; Enterprise software; Nuclear fuels; Nuclear power plants; Semantics; Conceptual frameworks; Conventional spirals; Data representations; Enterprise applications; Enterprise system; Life cycle model; Power plant construction; Semantic network;" Enterprise resource planning""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922685513&partnerID=40&md5=6d0bc6593c32520d1003763812d933bf"",""Automatic image recognition"; Ensemble classifiers; Kullback-leibler minimum discrimination information principle;" Maximum posterior probability principle"",""Algorithms"; Face recognition; Object recognition; Probability; Algorithm parameters; Ensemble classifiers; Euclidean metrics; Experimental research; Kullback information; Kullback-Leibler; Kullback-Leibler information; Maximum posterior probability; Recognition accuracy; Scale invariant feature transforms;" Parameter estimation""";;;;;;;;;;;;;;;;;;;;;;
4;"Titova N., Shutov A., Karpunina M.,""57197174761";7101871986;55274973600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924337549&partnerID=40&md5=d35225418759e40f08cb35fe94ba0f18"",""Business process modeling"; DEMO; Distributed organization; Distributed university; Organizational structure;" Simulation modeling"",""Computer simulation"; Decision support systems; Information science; Management science; Semantics; Societies and institutions; Systems engineering; Business process model; DEMO; Distributed organizations; Distributed university; Organizational structures;" Planning""";;;;;;;;;;;;;;;;;;;;
4;"Aseeva N., Babkin E., Kozyrev O.,""15847630900";6701533991;6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698216&partnerID=40&md5=81950a4970373ce2fdc7ae893092fe69"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Klimova N., Malyzhenkov P.,""36941059400";54783108900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867719860&doi=10.1007%2f978-3-642-33281-4_10&partnerID=40&md5=56cb17336d5aacd284a0f2285355be02"",""innovation"; spin-offs;" university clusters"",""Information science"; Innovation; Cluster models; Effective solution; ICT industries; Innovative activities; International experiences; National economy; Organizational forms; Spin off; university clusters;" Competition""";;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867724011&doi=10.1007%2f978-3-642-33281-4_15&partnerID=40&md5=08ce53e89375d56541ef386ef0762557"",""Best Bin First"; directed enumeration method; HoG (histogram of gradients); k-d tree;" Real-time object recognition"",""Algorithms"; Forestry; Graphic methods; Information science; Best Bin First; Enumeration method; HoG (histogram of gradients); K-d tree; Real-time object recognition; Face recognition; Algorithms; Computer Graphics;" Trees""";;;;;;;;;;;;;;;;;;;;;;;
4;"Gnatyshak D., Ignatov D.I., Semenov A., Poelmans J.,""55420752100";56926915100;57198704406;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867717000&doi=10.1007%2f978-3-642-33281-4_13&partnerID=40&md5=fd05628e59b992ddec4c804ed9adfe92"",""Biclustering and Triclustering"; Formal Concept Analysis; Online Social Networks;" Web 2.0 and Social Computing"",""Formal concept analysis"; Information science; Online systems; Social networking (online); Biclustering; Gaining insights; Massive data; Online social networks; Similar Interests; Social computing; Social Networks; Social tagging; Users' interests;" Social sciences computing""";;;;;;;;;;;;;;;;;;;;
4;"Revenko A., Kuznetsov S.O.,""55225811200";7202573378;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922169221&partnerID=40&md5=60511f9dcbda04d84199c80c1d4a047f"",""Error exploration"; Formal context;" Implication"",""Algorithms"; Information analysis; Polynomial approximation; Formal contexts; Implication; Implication basis; Polynomial-time algorithms;" Errors""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Asses Y., Buzmakov A., Bourquard T., Kuznetsov S.O., Napoli A.,""35733236500";56018681500;36022264400;7202573378;7005873419;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922692536&partnerID=40&md5=b01dbfe0bb0e6bcf3838a78c7704582e"",""Emerging patterns"; Formal Concept Analysis; Pattern mining; Supervised classification;" Unsupervised classification"",""Classification (of information)"; Data mining; Information analysis; Proteins; Emerging patterns; Formal concept analyses (FCA); Hybrid classification; Pattern mining; Protein interaction; Supervised classification; Unsupervised classification; Unsupervised method;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;
4;"Bazhenova E., Taratukhin V., Becker J.,""55543157200";57053054800;7403712750;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924291613&partnerID=40&md5=4c48806941910d5d5d8d2e4b95198672"",""Business-process"; Information and communication technologies; Mobile technologies;" Small and medium business"",""Developing countries"; Enterprise resource management; Information science; Business Process; Business process management; Emerging countries; Information and Communication Technologies; Mobile Technology; Small and medium enterprise; Small to medium-sized enterprise;" Administrative data processing""";;;;;;;;;;;;;;;;;;;;;;;;
4;"Ignatov D.I., Konstantinov A.V., Nikolenko S.I., Poelmans J., Zaharchuk V.V.,""56926915100";55420166400;13608710100;24504357900;55420283900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698931&doi=10.1007%2f978-3-642-33281-4_1&partnerID=40&md5=ef1e158f03e91fa1abf9014e42be1cd7"",""e-commerce"; interactive radio network; music recommender systems;" quality of service"",""Electronic commerce"; Information science; Quality of service; Radio stations; Adaptive online learning; Music recommender systems; Online recommender systems; Radio networks; Service evaluation;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;
4;"Kudinov A., Shapirovsky I., Shehtman V.,""55117642700";8716184900;16470280300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906769466&partnerID=40&md5=6ab9cfde83294bce0279e6721a8396d0"",""Decidability"; Finite axiomatizability; Hamming distance; Product of modal logics;" Undecidability"",""Computability and decidability"; Formal logic; Completeness theorems; Finite axiomatizability; Hamming space; Many dimensional; Modal logic; Undecidability; Unimodal;" Hamming distance""";;;;;;;;;;;;;;;;;;;;;;;;
4;"Abdulrab H., Itmi M., Poletaeva T., Saleh S.,""6602972854";6507823342;56337698400;56318770600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924340419&partnerID=40&md5=cf0a1e179d1e07cfa8087ba568bfec2c"",""Business process model"; Multi-agent; Ontology; Peer-to-peer; RFID;" Traceability"",""Commerce"; Containers; Information science; Integrated control; International trade; Interoperability; Multi agent systems; Ontology; Peer to peer networks; Radio frequency identification (RFID); Semantics; Business process model; Distributed networks; Multi agent; Ontological approach; Peer to peer; Semantic interoperability; Traceability; Traceability systems;" Information management""";;;;;;;;;;;;
5;"Balaeva O., Burnatseva E., Predvoditeleva M., Sheresheva M., Tretyak O.,""55440425400";56129341200;55440567600;44662077400;35076800100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899234368&doi=10.4018%2f978-1-4666-0077-5.ch029&partnerID=40&md5=1bebdbeaceb24647a3024613ffa8c9b4"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Pokryshevskaya E.B., Antipov E.A.,""36458850000";36458182800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871419055&doi=10.1057%2fjt.2012.16&partnerID=40&md5=0db6183ebaef41c0b6add2d174975d7d"",""attribute importance"; correlation; loyalty; regression; satisfaction;" shapley value"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Goldengorin B., Krushinsky D., Slomp J.,""6506538311";25121113400;6603677460;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869741855&doi=10.1287%2fopre.1120.1108&partnerID=40&md5=5931e1162852a7e3f1f69c04c9c03e13"",""Cell formation"; Group technology; P-median problem;" Pseudo-Boolean polynomial"",""Algorithmic errors"; Cell formation; CPU time; Experimental studies; High quality; Model-based OPC; Modeling errors; Objective functions; P-median problems; Pseudo-Boolean; Solution methods; Solution quality; Algorithms; Cellular manufacturing; Group technology;" Boolean algebra""";;;;;;;;;;;;;;;;;;;
5;"Ravetti M.G., Riveros C., Mendes A., Resende M.G.C., Pardalos P.M.,""16204085000";35765762800;7102443933;7005936086;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866071646&doi=10.1007%2fs10479-011-1056-3&partnerID=40&md5=8583e125165d6d7ae79c6d164bb88baf"",""Combinatorial optimization"; Flowshop problem; Memetic algorithms; Metaheuristics;" Scheduling"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Podinovski V.V.,""15770051800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860231988&doi=10.1016%2fj.ejor.2012.03.002&partnerID=40&md5=ce6f2260052d77e13b89d90501fe4740"",""Coefficients of importance"; Criteria importance theory; Dominance; Multi-criteria decision analysis; Partial preference relation;" Sensitivity analysis"",""Coefficients of importance"; Criteria importance theory; Dominance; Multi-criteria decision analysis; Preference relation; Mathematical models; Operations research;" Sensitivity analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Poghosyan S.S., Povolotsky A.M., Priezzhev V.B.,""6506652361";6602423850;6701810638;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866340670&doi=10.1088%2f1742-5468%2f2012%2f08%2fP08013&partnerID=40&md5=b30686bfe9544b3b8cc956f59d0d9e0e"",""correlation functions";" stochastic particle dynamics (theory)"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Liu H., Fan N., Pardalos P.M.,""54998242700";35253514500;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864284803&doi=10.1007%2fs10957-012-0007-8&partnerID=40&md5=6ae6909c180b044605acb797af9ab1ff"",""Generalized Lagrange function"; Multiobjective fractional optimal control problems;" Weak saddle points"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Chistyakov V.V., Goldengorin B.I., Pardalos P.M.,""7005793389";6506538311;7005330875;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863728645&doi=10.1007%2fs10898-012-9847-x&partnerID=40&md5=e45a9aed5fc51bd847bb453d302620d5"",""Additive objective function"; Combinatorial optimization problem;" Extremal values of tolerances"",""Combinatorial optimization problems"; Extremal; Feasible solution; Objective functions; Optimal solutions; Optimal systems;" Combinatorial optimization""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Aleskerov F., Karabekyan D., Sanver M.R., Yakuba V.,""7003947309";37089067400;55664622300;15838265400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861788648&doi=10.1016%2fj.mathsocsci.2011.10.001&partnerID=40&md5=45681ea0313b3dfab32d56fd728a3cf8"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Miles I.,""7003911939";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857580574&doi=10.1108%2f14636681211210378&partnerID=40&md5=c1106a64bf23469e44e4464598801b44"",""Evaluation"; Foresight; Foresight programmes; Forward planning; Services; Stakeholders; Value added;" Values"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Mirkin B., Nascimento S.,""35428028600";7003805775;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055036002&doi=10.1016%2fj.ins.2011.09.009&partnerID=40&md5=6c67e6e85a0f4e8519fe489049e8248f"",""Additive fuzzy clustering"; Community structure; Lapin transformation; One-by-one clustering; Research activity structure;" Spectral fuzzy clustering"",""Cluster analysis"; Fuzzy clustering; Inverse problems; Iterative methods; Metadata; Social sciences; Spectroscopy; Community structures; Iterative extraction; Lapin transformation; Multi-dimensional vectors; Network structures; One-by-one clustering; Research activities; Spectral decomposition;" Matrix algebra""";;;;;;;;;;;;;;;;;;
5;"Aseeva N., Babkin E., Kozyrev O.,""15847630900";6701533991;6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698216&partnerID=40&md5=81950a4970373ce2fdc7ae893092fe69"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"Klimova N., Malyzhenkov P.,""36941059400";54783108900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867719860&doi=10.1007%2f978-3-642-33281-4_10&partnerID=40&md5=56cb17336d5aacd284a0f2285355be02"",""innovation"; spin-offs;" university clusters"",""Information science"; Innovation; Cluster models; Effective solution; ICT industries; Innovative activities; International experiences; National economy; Organizational forms; Spin off; university clusters;" Competition""";;;;;;;;;;;;;;;;;;;;;;;;;
5;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867724011&doi=10.1007%2f978-3-642-33281-4_15&partnerID=40&md5=08ce53e89375d56541ef386ef0762557"",""Best Bin First"; directed enumeration method; HoG (histogram of gradients); k-d tree;" Real-time object recognition"",""Algorithms"; Forestry; Graphic methods; Information science; Best Bin First; Enumeration method; HoG (histogram of gradients); K-d tree; Real-time object recognition; Face recognition; Algorithms; Computer Graphics;" Trees""";;;;;;;;;;;;;;;;;;;;;;;
5;"Gnatyshak D., Ignatov D.I., Semenov A., Poelmans J.,""55420752100";56926915100;57198704406;24504357900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867717000&doi=10.1007%2f978-3-642-33281-4_13&partnerID=40&md5=fd05628e59b992ddec4c804ed9adfe92"",""Biclustering and Triclustering"; Formal Concept Analysis; Online Social Networks;" Web 2.0 and Social Computing"",""Formal concept analysis"; Information science; Online systems; Social networking (online); Biclustering; Gaining insights; Massive data; Online social networks; Similar Interests; Social computing; Social Networks; Social tagging; Users' interests;" Social sciences computing""";;;;;;;;;;;;;;;;;;;;
5;"Ignatov D.I., Konstantinov A.V., Nikolenko S.I., Poelmans J., Zaharchuk V.V.,""56926915100";55420166400;13608710100;24504357900;55420283900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867698931&doi=10.1007%2f978-3-642-33281-4_1&partnerID=40&md5=ef1e158f03e91fa1abf9014e42be1cd7"",""e-commerce"; interactive radio network; music recommender systems;" quality of service"",""Electronic commerce"; Information science; Quality of service; Radio stations; Adaptive online learning; Music recommender systems; Online recommender systems; Radio networks; Service evaluation;" Recommender systems""";;;;;;;;;;;;;;;;;;;;;;;
6;"Furmanov K., Balaeva O., Predvoditeleva M.,""55441274500";55440425400;55440567600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868093160&doi=10.1080%2f13032917.2011.653629&partnerID=40&md5=34d6011a25bfbb2687f3a20006c1c03b"",""European Union"; Forecasting; Russia;" Tourism flows"",""econometrics"; European Union; forecasting method; numerical model; tourism development; trend analysis;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Petrukhin N.S., Pelinovsky E.N., Batsyna E.K.,""6603394745";7004951110;44461079500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869789659&doi=10.1134%2fS0016793212060072&partnerID=40&md5=3b8898f720082c3b56468e398d096ac6"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Petrukhin N.S., Pelinovsky E.N., Batsyna E.K.,""6603394745";7004951110;44461079500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862222875&doi=10.1134%2fS1063773712050064&partnerID=40&md5=a0ff33c858aa3cf610f19213cc8182d6"",""acoustic waves"; quiet Sun; solar atmosphere; solar chromosphere;" solar corona"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Bykov P.L., Gordin V.A.,""55201466000";7004227636;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860379736&doi=10.1134%2fS0001433812020053&partnerID=40&md5=f0783f2dc485a064f093ebcd40352424"",""compact scheme"; contact discontinuity; correlation function; geopotential; Hessian; predictor; temperature;" wind"",""atmospheric front"; geopotential; potential field; temperature effect; three-dimensional modeling;" wind field""";;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Skorobogatov A.S.,""55582487700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873474130&partnerID=40&md5=0a16500db332c6ad6472841e9f058198"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Isaev D.,""57202950348";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873495992&partnerID=40&md5=a2d16ac4a59165851c328a730dfafa41"",""Conceptual modeling"; Corporate governance; Functional block; Functional module; Information flow; Information support; Performance management;" Strategic management"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Gimpelson V., Oshchepkov A.,""6506321819";54080231400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983354622&doi=10.1186%2f2193-9020-1-6&partnerID=40&md5=fa2787de7378339ef2de2c5b18791eab"",""Fear of unemployment"; Job insecurity;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Zhelobodko E., Kokovin S., Parenti M., Thisse J.-F.,""23394229800";23392413500;55504793600;55941795900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870170950&doi=10.3982%2fECTA9986&partnerID=40&md5=1f94ab854b81638260e41c22a74413a8"",""Additive preferences"; Heterogeneous firms; Love for variety;" Monopolistic competition"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Libman A., Kozlov V., Schultz A.,""35763477800";55429890300;55430723100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867882524&doi=10.1111%2fkykl.12005&partnerID=40&md5=1efb71d92440ee818f244aa99e4831ab"",,""governance approach"; political system; public goods; tax system;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Kuznetsova O.,""55430237300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867854362&doi=10.2298%2fPAN1202185K&partnerID=40&md5=6a7d1c154fbf8465c2605899a1f99516"",""Currency union"; Model uncertainty;" Robust monetary policy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Merzlyakov S.,""55431356400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867892954&doi=10.2298%2fPAN1202201M&partnerID=40&md5=fbd007f033b40eabed406246f031695e"",""Exchange rate"; Fiscal policy;" Monetary policy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Stulova N., Balkovskaya D.,""55601469500";55602010400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874101018&partnerID=40&md5=5e0bf7d1abec69db5d8ddf75534060f7"",""Financial stability"; Human capital; Intellectual capital; Physical capital;" Structural capital"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Pokryshevskaya E.B., Antipov E.A.,""36458850000";36458182800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871419055&doi=10.1057%2fjt.2012.16&partnerID=40&md5=0db6183ebaef41c0b6add2d174975d7d"",""attribute importance"; correlation; loyalty; regression; satisfaction;" shapley value"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Yakovlev A., Demidova O.,""36085487700";6602926736;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865231874&doi=10.1504%2fIJEPEE.2012.048497&partnerID=40&md5=a4efa6b35df26fbbbb3299b5a4db41c9"",""Corruption"; Firms restructuring; Public procurement;" Russian economy"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Shakina E., Barajas A.,""55266716300";35572693800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862982852&doi=10.2298%2fEKA1292079B&partnerID=40&md5=dd61f18a1cba2f0a9d78ab31166175b7"",""Company's performance"; Institutional drivers;" Intellectual capital"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Golikova V., Gonchar K., Kuznetsov B.,""57127200100";6506713940;16039562100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862073701&doi=10.1080%2f14631377.2012.675163&partnerID=40&md5=e621afea374d20826c9809ddbf35c4ae"",,""export"; incentive; international trade; manufacturing; post-communism; trade flow; trade performance;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Demidova O., Signorelli M.,""6602926736";24774145900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861386989&doi=10.1080%2f14631377.2012.675155&partnerID=40&md5=7c0b8816fca6462e497adefff3e44864"",,""econometrics"; economic development; financial crisis; government; labor market; unemployment;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Doroshenko M.E.,""55903713000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006371024&doi=10.1057%2f9781137008428&partnerID=40&md5=a2ee69aa4af0fd0639c623916ca8a02a"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
